Name,Email,Phone,Applied For,Date,Viewed
jobseeker1,rajkir783@gmail.com,6002080805,React Js,Mon Aug 04 2025 16:58:53 GMT+0530 (India Standard Time),Viewed
jobseeker1,rajkir783@gmail.com,6002080805,Node Js 7 yr exp.,Mon Aug 04 2025 16:59:39 GMT+0530 (India Standard Time),Not-Viewed
jobseeker1,rajkir783@gmail.com,6002080805,Express Js,Mon Aug 04 2025 17:09:10 GMT+0530 (India Standard Time),Not-Viewed
jobseeker1,rajkir783@gmail.com,6002080805,Express Js 6yrs exp.,Mon Aug 04 2025 17:09:18 GMT+0530 (India Standard Time),Viewed
jobseeker1,rajkir783@gmail.com,6002080805,Node Js 4 yrs exp.,Mon Aug 04 2025 17:09:25 GMT+0530 (India Standard Time),Not-Viewed
jobseeker1,rajkir783@gmail.com,6002080805,Mern ,Mon Aug 04 2025 17:09:37 GMT+0530 (India Standard Time),Viewed
jobseeker1,rajkir783@gmail.com,6002080805,Html Developer,Mon Aug 04 2025 17:36:31 GMT+0530 (India Standard Time),Not-Viewed
jobseeker1,rajkir783@gmail.com,6002080805,Next JS,Mon Aug 04 2025 17:42:57 GMT+0530 (India Standard Time),Not-Viewed
jobseeker1,rajkir783@gmail.com,6002080805,Vue Js 7 yrs exp.,Mon Aug 04 2025 17:43:08 GMT+0530 (India Standard Time),Not-Viewed
jobseeker1,rajkir783@gmail.com,6002080805,Frontend,Mon Aug 04 2025 17:43:34 GMT+0530 (India Standard Time),Not-Viewed
